,Dt_Customer,Age,Marital_Status,total_number_of_children,Income,total_spending,total_number_of_purches,NumDealsPurchases,first_day,day_engaged
0,2012-04-09,57,Single,0,58138,1617,25,3,2015-01-01,997
1,2014-08-03,60,Single,2,46344,27,6,2,2015-01-01,151
2,2013-08-21,49,relationship,0,71613,776,21,1,2015-01-01,498
3,2014-10-02,30,relationship,1,26646,53,8,2,2015-01-01,91
4,2014-01-19,33,relationship,1,58293,422,19,5,2015-01-01,347
5,2013-09-09,47,relationship,1,62513,716,22,2,2015-01-01,479
6,2012-11-13,43,Single,1,55635,590,21,4,2015-01-01,779
7,2013-08-05,29,relationship,1,33454,169,10,2,2015-01-01,514
8,2013-06-06,40,relationship,1,30351,46,6,1,2015-01-01,574
9,2014-03-13,64,relationship,2,5648,49,2,1,2015-01-01,294
11,2012-11-13,38,relationship,0,7500,61,6,1,2015-01-01,779
12,2013-11-15,55,Single,0,63033,1102,16,1,2015-01-01,412
13,2013-11-15,62,Single,2,59354,310,15,3,2015-01-01,412
14,2012-10-10,27,relationship,0,17323,46,5,1,2015-01-01,813
15,2012-11-24,68,Single,0,82800,1315,26,1,2015-01-01,768
16,2012-12-24,34,relationship,2,41850,96,9,3,2015-01-01,738
17,2012-08-31,68,relationship,0,37760,317,13,2,2015-01-01,853
18,2013-03-28,65,relationship,1,76995,1782,26,2,2015-01-01,644
19,2012-03-11,29,Single,1,33812,133,8,2,2015-01-01,1026
20,2012-08-08,32,relationship,0,37040,316,12,1,2015-01-01,876
21,2013-06-01,35,relationship,1,2447,1730,43,15,2015-01-01,579
22,2012-12-23,65,relationship,1,58607,972,17,3,2015-01-01,739
23,2014-11-01,60,relationship,1,65324,544,20,3,2015-01-01,61
24,2013-03-18,63,relationship,1,40689,444,20,7,2015-01-01,654
25,2013-02-01,45,Single,0,18589,75,8,2,2015-01-01,699
26,2013-05-27,38,relationship,2,53359,257,14,4,2015-01-01,584
28,2013-05-31,25,relationship,1,38360,131,9,2,2015-01-01,580
29,2013-11-22,49,relationship,0,84618,1672,26,1,2015-01-01,405
30,2014-05-22,25,Single,0,10979,30,8,2,2015-01-01,224
31,2013-11-05,51,relationship,0,38620,318,11,1,2015-01-01,422
32,2012-10-10,44,relationship,1,40548,120,9,2,2015-01-01,813
33,2012-10-29,62,Single,2,46610,302,17,6,2015-01-01,794
34,2013-02-20,68,relationship,0,68657,1196,18,1,2015-01-01,680
35,2013-08-29,63,Single,2,49389,65,6,1,2015-01-01,490
36,2013-12-31,44,relationship,1,67353,913,28,5,2015-01-01,366
37,2013-02-09,38,relationship,1,23718,81,9,3,2015-01-01,691
38,2014-11-02,41,Single,1,42429,67,7,2,2015-01-01,60
39,2013-01-02,71,Single,0,48948,902,24,2,2015-01-01,729
40,2013-04-29,34,relationship,1,80011,1395,21,2,2015-01-01,612
41,2013-12-03,29,relationship,1,20559,53,7,2,2015-01-01,394
42,2012-12-24,57,relationship,1,21994,22,4,1,2015-01-01,738
44,2013-02-10,39,relationship,1,7500,31,8,3,2015-01-01,690
45,2014-06-28,38,Single,0,79941,984,16,1,2015-01-01,187
46,2012-09-11,18,relationship,0,7500,122,10,3,2015-01-01,842
47,2013-05-24,46,relationship,1,41728,55,5,1,2015-01-01,587
49,2012-08-11,60,relationship,2,72550,1319,28,9,2015-01-01,873
50,2014-12-05,57,Single,1,65486,507,17,1,2015-01-01,27
51,2012-11-08,50,relationship,0,79143,1693,29,1,2015-01-01,784
52,2013-02-01,37,Single,1,35790,72,7,2,2015-01-01,699
53,2014-07-06,37,Single,0,82582,1617,21,1,2015-01-01,179
54,2013-12-06,36,relationship,2,66373,606,23,7,2015-01-01,391
55,2012-11-19,59,relationship,0,82384,1957,27,1,2015-01-01,773
56,2013-02-04,48,Single,0,70287,1093,21,1,2015-01-01,696
57,2014-04-28,26,Single,1,27938,29,6,1,2015-01-01,248
59,2014-03-03,46,relationship,1,55954,518,19,3,2015-01-01,304
60,2013-04-07,32,Single,0,75777,1438,21,1,2015-01-01,634
