Date,Country,Injuries/Casualties,Type,Description
15 October 2011,United States,3,Transport,"Three teenagers (two sisters and a friend) were killed by a train while posing for a selfie that was found on their phone. Shortly before, they posted the message ""Standing right by a train ahaha this is awesome!!!!"" to Facebook."
March 2014,Spain,1,Electrocution,A 21-year-old man was electrocuted after climbing on top of a train to take a selfie with friends and touching a wire that (contrary to the assumptions of the group) turned out to be live. One of the friends was hospitalized in serious condition.
March 2014,Russia,1,Transport,"Two people were walking near train tracks when a train approached them and one of the people on the tracks moved away and the second, a 15-year-old, was attempting to take a selfie when a collision occurred with the train and she was killed."
April 2014,United States,1,Transport,"A 32-year-old woman from North Carolina was driving and veered her vehicle across the center median. Her vehicle collided with a recycling truck, left the road, hit a tree, and burst into flames – moments after posting selfies online when she heard Pharrell Williams' song ""Happy"". The truck driver was unharmed."
22 April 2014,Russia,1,Fall,"A 17-year-old girl fell 30 ft to her death after being hit by 1,500 volts when attempting to grab live wires on a railway bridge."
May 2014,India,1,Transport,A 15-year-old boy was killed by a train while posing for a selfie on the tracks.
31 May 2014,United States,2,Transport,"A 29-year-old amateur pilot allegedly took selfies using a GoPro camera before his plane crashed, killing himself and the passenger on board."
June 2014,Italy,1,Fall,A 16-year-old girl died in Taranto after plunging 60 feet onto rocks while she was trying to take a photograph of herself on the seafront.
July 2014,Philippines,1,Fall,"A 14-year-old high school student in the Philippines fell to her death after losing her balance while taking a selfie with a friend near a staircase landing of their school in suburban Pasig. According to doctors, she sustained a sharp blow to the head from the fall and broke a rib which pierced a kidney."
24 July 2014,Belgium,1,Transport,A 12-year-old was with a second person taking selfies near a railway track. A train arrived and they went back down onto the train tracks to retrieve their bags. As they were waiting for the train to leave a second train approached that they did not hear. The second person jumped away before the train collided with them and the 12 year-old was hit by the train and killed.
August 2014,Philippines,1,Firearm,A 15-year-old boy in the Philippines was critically wounded after accidentally shooting himself while taking a selfie in which his other hand was holding a gun to his chin.
2 August 2014,Mexico,1,Firearm,A 21-year-old man was drinking with friends and took a selfie to post on Facebook. He posed with a gun pointed at his face. The man accidentally shot himself and he was declared dead at the scene.
August 2014,Portugal,2,Fall,A Polish couple fell to their death off a cliff in Portugal after crossing a safety barrier to take a selfie with their children. Their two children who were present at the scene survived.
August 2014,India,1,Electrocution,"In Kerala, a 14-year-old boy was electrocuted while attempting to take a selfie on top of a stationary train."
August 2014,United States,1,Transport,"A 36-year-old man, of Niagara, N.D., struck and killed a 54-year-old woman of Portland, N.D., while driving. She was riding a bicycle and he was distracted as he took a selfie, striking her from behind with his vehicle."
October 2014,Philippines,1,Drowned,An 18-year-old woman in the Philippines was posing for a group selfie on a beach with friends. She was captured by a strong wave and drowned.
November 2014,Spain,1,Fall,"A 23-year-old student from Poland fell to her death while trying to take a selfie on the ledge of the Triana Bridge in Seville, Spain."
January 2015,South Africa,1,Fall,"A 21-year-old woman died after falling from Northcliff Hill, Johannesburg, as a male companion was setting up a tripod for a selfie. Reports vary as to the identity of the companion."
January 2015,Russia,2,Other,Two young men died in the Ural Mountains after they pulled the pin from a live hand grenade to take a selfie. The phone with the picture remained as evidence of the circumstance of their deaths.
